"langcode","langname","langname_af","langname_ar"
"af","Afrikaans","Afrikaans","الأفريقانية"
"ar","Arabic","Arabies","العربية"
"hy","Armenian","Armeens","الأرمينية"
"be","Belarusian","Belo-Russies","البيلاروسية"
"bg","Bulgarian","Bulgaars","البلغارية"
"ca","Catalan","Katalaans","القطلونية"
"zh-CN","Chinese (Simplified)","Chinees (Vereenvoudig)","الصينية (المبسطة)"
"zh-TW","Chinese (Traditional)","Chinees (Tradisioneel)","الصينية (التقليدية)"
"hr","Croatian","Kroaties","الكرواتية"
"cs","Czech","Tsjeggies","التشيكية"
"da","Danish","Deens","الدانماركية"
"nl","Dutch","Nederlands","الهولندية"
"en","English","Engels","الإنجليزية"
"eo","Esperanto","Esperanto","إسبرانتو"
"et","Estonian","Estlands","الإستونية"
"tl","Filipino","Filippyns","فيليبينو"
"fi","Finnish","Fins","الفنلندية"
"fr","French","Frans","الفرنسية"
"de","German","Duits","الألمانية"
"el","Greek","Grieks","اليونانية"
"iw","Hebrew","Hebreeus","العبرية"
"hi","Hindi","Hindi","الهندية"
"hu","Hungarian","Hongaars","الهنغارية"
"is","Icelandic","Yslands","الآيسلندية"
"id","Indonesian","Indonesies","الإندونيسية"
"it","Italian","Italiaans","الإيطالية"
"ja","Japanese","Japannees","اليابانية"
"ko","Korean","Koreaans","الكورية"
"lv","Latvian","Letties","اللاتفية"
"lt","Lithuanian","Litaus","الليتوانية"
"no","Norwegian","Noors","النرويجية"
"fa","Persian","Persies","الفارسية"
"pl","Polish","Pools","البولندية"
"pt","Portuguese","Portugees","البرتغالية"
"ro","Romanian","Roemeens","الرومانية"
"ru","Russian","Russies","الروسية"
"sr","Serbian","Serwies","الصربية"
"sk","Slovak","Slowaaks","السلوفاكية"
"sl","Slovenian","Sloweens","السلوفينية"
"es","Spanish","Spaans","الإسبانية"
"sw","Swahili","Swahili","السواحيلية"
"sv","Swedish","Sweeds","السويدية"
"th","Thai","Thai","التايلاندية"
"tr","Turkish","Turks","التركية"
"uk","Ukrainian","Oekraïns","الأوكرانية"
"vi","Vietnamese","Viëtnamees","الفيتنامية"
